Age,M,F,Total
0-4,61228414,55651093,116879507
int(5 - 9),61877169,56104958,117982127
Oct-14,66302628,59853324,126155952
15-19,66670854,59374711,126045565
20-24,64865811,57638993,122504804
25-29,62039339,55357930,117397269
30-34,58874888,53301210,112176098
35-39,53993918,49466260,103460178
40-44,46631243,43588651,90219894
45-49,40756605,38683675,79440280
50-54,35202663,33673299,68875962
55-59,30150272,29105996,59256268
60-64,24694672,24195856,48890528
65-69,19168129,19092154,38260283
70-74,11627908,12463535,24091443
75-79,7062999,8020956,15083955
80-84,3831463,4657548,8489011
85-89,1575584,1955555,3531139
90-94,437188,555797,992985
95-99,91981,131216,223197
100+,17241,30698,47939
0-18,,,487063151
18-30,,,239902073
30-45,,,305856170
45-60,,,148316242
60+,,,139610480
