Date,State,Recovered,Deaths,Confirmed,
2020-01-30,Kerala,0,0,1,
2020-01-30,India,0,0,1,
2020-02-02,Kerala,0,0,2,
2020-02-02,India,0,0,2,
2020-02-03,Kerala,0,0,3,
2020-02-03,India,0,0,3,
2020-02-14,Kerala,3,0,6,
2020-02-14,India,3,0,6,
2020-03-02,Delhi,0,0,1,
2020-03-02,Kerala,3,0,6,
2020-03-02,Telangana,0,0,1,
2020-03-02,India,3,0,8,
2020-03-03,Delhi,0,0,1,
2020-03-03,Kerala,3,0,6,
2020-03-03,Rajasthan,0,0,1,
2020-03-03,Telangana,0,0,1,
2020-03-03,India,3,0,9,
2020-03-04,Delhi,0,0,1,
2020-03-04,Haryana,0,0,14,
2020-03-04,Kerala,3,0,6,
2020-03-04,Rajasthan,0,0,2,
2020-03-04,Telangana,0,0,1,
2020-03-04,India,3,0,31,
2020-03-04,Uttar Pradesh,0,0,7,
2020-03-05,Delhi,0,0,2,
2020-03-05,Haryana,0,0,14,
2020-03-05,Kerala,3,0,6,
2020-03-05,Rajasthan,0,0,2,
2020-03-05,Telangana,0,0,1,
2020-03-05,India,3,0,33,
2020-03-05,Uttar Pradesh,0,0,8,
2020-03-06,Delhi,0,0,3,
2020-03-06,Haryana,0,0,14,
2020-03-06,Kerala,3,0,6,
2020-03-06,Rajasthan,0,0,2,
2020-03-06,Telangana,0,0,1,
2020-03-06,India,3,0,34,
2020-03-06,Uttar Pradesh,0,0,8,
2020-03-07,Delhi,0,0,3,
2020-03-07,Haryana,0,0,14,
2020-03-07,Kerala,3,0,6,
2020-03-07,Ladakh,0,0,2,
2020-03-07,Rajasthan,0,0,2,
2020-03-07,Telangana,0,0,1,
2020-03-07,Tamil Nadu,0,0,1,
2020-03-07,India,3,0,37,
2020-03-07,Uttar Pradesh,0,0,8,
2020-03-08,Delhi,0,0,3,
2020-03-08,Haryana,0,0,14,
2020-03-08,Kerala,3,0,11,
2020-03-08,Ladakh,0,0,2,
2020-03-08,Rajasthan,0,0,2,
2020-03-08,Telangana,0,0,1,
2020-03-08,Tamil Nadu,0,0,1,
2020-03-08,India,3,0,42,
2020-03-08,Uttar Pradesh,0,0,8,
2020-03-09,Delhi,0,0,4,
2020-03-09,Haryana,0,0,14,
2020-03-09,Jammu and Kashmir,0,0,1,
2020-03-09,Karnataka,0,0,1,
2020-03-09,Kerala,3,0,12,
2020-03-09,Ladakh,0,0,2,
2020-03-09,Maharashtra,0,0,2,
2020-03-09,Punjab,0,0,1,
2020-03-09,Rajasthan,0,0,2,
2020-03-09,Telangana,0,0,1,
2020-03-09,Tamil Nadu,0,0,1,
2020-03-09,India,3,0,51,
2020-03-09,Uttar Pradesh,0,0,10,
2020-03-10,Delhi,0,0,4,
2020-03-10,Haryana,0,0,14,
2020-03-10,Jammu and Kashmir,0,0,1,
2020-03-10,Karnataka,0,0,4,
2020-03-10,Kerala,3,0,20,
2020-03-10,Ladakh,0,0,2,
2020-03-10,Maharashtra,0,0,5,
2020-03-10,Punjab,0,0,1,
2020-03-10,Rajasthan,0,0,3,
2020-03-10,Telangana,0,0,1,
2020-03-10,Tamil Nadu,0,0,1,
2020-03-10,India,3,0,66,
2020-03-10,Uttar Pradesh,0,0,10,
2020-03-11,Delhi,0,0,5,
2020-03-11,Haryana,0,0,14,
2020-03-11,Jammu and Kashmir,0,0,1,
2020-03-11,Karnataka,0,0,4,
2020-03-11,Kerala,3,0,20,
2020-03-11,Ladakh,0,0,3,
2020-03-11,Maharashtra,0,0,11,
2020-03-11,Punjab,0,0,1,
2020-03-11,Rajasthan,0,0,3,
2020-03-11,Telangana,0,0,1,
2020-03-11,Tamil Nadu,0,0,1,
2020-03-11,India,3,0,74,
2020-03-11,Uttar Pradesh,0,0,10,
2020-03-12,Andhra Pradesh,0,0,1,
2020-03-12,Delhi,0,0,6,
2020-03-12,Haryana,0,0,14,
2020-03-12,Jammu and Kashmir,0,0,1,
2020-03-12,Karnataka,0,0,5,
2020-03-12,Kerala,3,0,22,
2020-03-12,Ladakh,0,0,3,
2020-03-12,Maharashtra,0,0,14,
2020-03-12,Punjab,0,0,1,
2020-03-12,Rajasthan,0,0,3,
2020-03-12,Telangana,0,0,1,
2020-03-12,Tamil Nadu,0,0,1,
2020-03-12,India,3,0,84,
2020-03-12,Uttar Pradesh,0,0,12,
2020-03-13,Andhra Pradesh,0,0,1,
2020-03-13,Delhi,0,0,7,
2020-03-13,Haryana,0,0,14,
2020-03-13,Jammu and Kashmir,0,0,2,
2020-03-13,Karnataka,0,1,7,
2020-03-13,Kerala,3,0,25,
2020-03-13,Ladakh,0,0,3,
2020-03-13,Maharashtra,0,0,17,
2020-03-13,Punjab,0,0,1,
2020-03-13,Rajasthan,0,0,3,
2020-03-13,Telangana,0,0,1,
2020-03-13,Tamil Nadu,0,0,1,
2020-03-13,India,3,1,95,
2020-03-13,Uttar Pradesh,0,0,13,
2020-03-14,Andhra Pradesh,0,0,1,
2020-03-14,Delhi,0,0,7,
2020-03-14,Himachal Pradesh,0,0,0,
2020-03-14,Haryana,0,0,14,
2020-03-14,Jammu and Kashmir,0,0,2,
2020-03-14,Karnataka,0,1,7,
2020-03-14,Kerala,3,0,25,
2020-03-14,Ladakh,0,0,3,
2020-03-14,Maharashtra,0,0,26,
2020-03-14,Punjab,0,0,1,
2020-03-14,Rajasthan,0,0,4,
2020-03-14,Telangana,0,0,2,
2020-03-14,Tamil Nadu,0,0,1,
2020-03-14,India,3,1,106,
2020-03-14,Uttar Pradesh,0,0,13,
2020-03-15,Andhra Pradesh,0,0,1,
2020-03-15,Delhi,0,0,7,
2020-03-15,Himachal Pradesh,0,0,0,
2020-03-15,Haryana,0,0,14,
2020-03-15,Jammu and Kashmir,0,0,2,
2020-03-15,Karnataka,0,1,7,
2020-03-15,Kerala,3,0,27,
2020-03-15,Ladakh,0,0,3,
2020-03-15,Maharashtra,0,0,32,
2020-03-15,Punjab,0,0,1,
2020-03-15,Rajasthan,0,0,4,
2020-03-15,Telangana,0,0,3,
2020-03-15,Tamil Nadu,0,0,1,
2020-03-15,India,3,1,116,
2020-03-15,Uttar Pradesh,0,0,13,
2020-03-15,Uttarakhand,0,0,1,
2020-03-16,Andhra Pradesh,0,0,1,
2020-03-16,Delhi,0,0,7,
2020-03-16,Himachal Pradesh,0,0,0,
2020-03-16,Haryana,0,0,14,
2020-03-16,Jammu and Kashmir,0,0,3,
2020-03-16,Karnataka,0,1,8,
2020-03-16,Kerala,3,0,30,
2020-03-16,Ladakh,0,0,3,
2020-03-16,Maharashtra,0,0,39,
2020-03-16,Odisha,0,0,1,
2020-03-16,Punjab,0,0,1,
2020-03-16,Rajasthan,0,0,4,
2020-03-16,Telangana,0,0,4,
2020-03-16,Tamil Nadu,0,0,1,
2020-03-16,India,3,1,130,
2020-03-16,Uttar Pradesh,0,0,13,
2020-03-16,Uttarakhand,0,0,1,
2020-03-17,Andhra Pradesh,0,0,1,
2020-03-17,Delhi,0,0,10,
2020-03-17,Himachal Pradesh,0,0,0,
2020-03-17,Haryana,0,0,15,
2020-03-17,Jammu and Kashmir,0,0,3,
2020-03-17,Karnataka,0,1,12,
2020-03-17,Kerala,3,0,30,
2020-03-17,Ladakh,0,0,8,
2020-03-17,Maharashtra,0,0,41,
2020-03-17,Odisha,0,0,1,
2020-03-17,Punjab,0,0,1,
2020-03-17,Puducherry,0,0,1,
2020-03-17,Rajasthan,0,0,4,
2020-03-17,Telangana,0,0,5,
2020-03-17,Tamil Nadu,0,0,1,
2020-03-17,India,3,1,150,
2020-03-17,Uttar Pradesh,0,0,15,
2020-03-17,Uttarakhand,0,0,1,
2020-03-17,West Bengal,0,0,1,
2020-03-18,Andhra Pradesh,0,0,1,
2020-03-18,Delhi,0,0,11,
2020-03-18,Himachal Pradesh,0,0,0,
2020-03-18,Haryana,0,0,17,
2020-03-18,Jammu and Kashmir,0,0,4,
2020-03-18,Karnataka,0,1,15,
2020-03-18,Kerala,3,0,30,
2020-03-18,Ladakh,0,0,8,
2020-03-18,Maharashtra,0,0,45,
2020-03-18,Odisha,0,0,1,
2020-03-18,Punjab,0,0,1,
2020-03-18,Puducherry,0,0,1,
2020-03-18,Rajasthan,0,0,7,
2020-03-18,Telangana,0,0,13,
2020-03-18,Tamil Nadu,0,0,2,
2020-03-18,India,3,1,175,
2020-03-18,Uttar Pradesh,0,0,17,
2020-03-18,Uttarakhand,0,0,1,
2020-03-18,West Bengal,0,0,1,
2020-03-19,Andhra Pradesh,0,0,3,
2020-03-19,Chandigarh,0,0,1,
2020-03-19,Chhattisgarh,0,0,1,
2020-03-19,Delhi,0,0,14,
2020-03-19,Gujarat,0,0,2,
2020-03-19,Himachal Pradesh,0,0,0,
2020-03-19,Haryana,0,0,17,
2020-03-19,Jammu and Kashmir,0,0,4,
2020-03-19,Karnataka,0,1,16,
2020-03-19,Kerala,3,0,31,
2020-03-19,Ladakh,0,0,8,
2020-03-19,Maharashtra,0,0,48,
2020-03-19,Odisha,0,0,2,
2020-03-19,Punjab,0,0,2,
2020-03-19,Puducherry,0,0,1,
2020-03-19,Rajasthan,0,0,9,
2020-03-19,Telangana,0,0,16,
2020-03-19,Tamil Nadu,0,0,3,
2020-03-19,India,3,1,202,
2020-03-19,Uttar Pradesh,0,0,20,
2020-03-19,Uttarakhand,0,0,3,
2020-03-19,West Bengal,0,0,1,
2020-03-20,Andhra Pradesh,0,0,3,
2020-03-20,Chandigarh,0,0,5,
2020-03-20,Chhattisgarh,0,0,1,
2020-03-20,Delhi,0,0,20,
2020-03-20,Gujarat,0,0,7,
2020-03-20,Himachal Pradesh,0,0,2,
2020-03-20,Haryana,0,0,19,
2020-03-20,Jammu and Kashmir,0,0,4,
2020-03-20,Karnataka,1,1,17,
2020-03-20,Kerala,3,0,43,
2020-03-20,Ladakh,0,0,10,
