Updated On,State,First Dose Administered,Second Dose Administered,Total Doses Administered
2021-01-16,India,48276.0,0.0,48276.0
2021-01-17,India,58604.0,0.0,58604.0
2021-01-18,India,99449.0,0.0,99449.0
2021-01-19,India,195525.0,0.0,195525.0
2021-02-01,India,3350265.0,0.0,3350265.0
2021-02-02,India,3527971.0,0.0,3527971.0
2021-02-03,India,3825835.0,0.0,3825835.0
2021-02-04,India,4314304.0,0.0,4314304.0
2021-02-05,India,4765924.0,0.0,4765924.0
2021-02-06,India,5111827.0,0.0,5111827.0
2021-02-07,India,5168099.0,0.0,5168099.0
2021-02-08,India,5615499.0,0.0,5615499.0
2021-02-09,India,6002474.0,0.0,6002474.0
2021-02-10,India,6462270.0,0.0,6462270.0
2021-02-11,India,6958553.0,0.0,6958553.0
2021-02-12,India,7423817.0,0.0,7423817.0
2021-02-13,India,7687352.0,20859.0,7708211.0
2021-02-14,India,7710367.0,21911.0,7732278.0
2021-02-15,India,8111162.0,142489.0,8253651.0
2021-02-16,India,8337600.0,239626.0,8577226.0
2021-02-17,India,8704698.0,318541.0,9023239.0
2021-02-18,India,8862491.0,475776.0,9338267.0
2021-02-19,India,9523567.0,717941.0,10241508.0
2021-03-01,India,11141651.0,2419557.0,13561208.0
2021-03-02,India,11886320.0,2647634.0,14533954.0
2021-03-03,India,12553326.0,2830557.0,15383883.0
2021-03-04,India,13393538.0,3142165.0,16535703.0
2021-03-05,India,14415912.0,3455761.0,17871673.0
2021-03-06,India,15438495.0,3732333.0,19170828.0
2021-03-07,India,15541529.0,3747137.0,19288666.0
2021-03-08,India,16976138.0,4062362.0,21038500.0
2021-03-09,India,14003206.0,4357037.0,18360243.0
2021-03-10,India,14872785.0,4665762.0,19538547.0
2021-03-11,India,15204375.0,4749612.0,19953987.0
2021-03-12,India,16612019.0,5160140.0,21772159.0
2021-03-13,India,17698742.0,5460862.0,23159604.0
2021-03-14,India,17837716.0,5480034.0,23317750.0
2021-03-15,India,19766466.0,5851784.0,25618250.0
2021-03-16,India,25709257.0,6161488.0,31870745.0
2021-03-17,India,30011328.0,6484692.0,36496020.0
2021-03-18,India,31952935.0,6817469.0,38770404.0
2021-03-19,India,34228371.0,7080848.0,41309219.0
2021-04-01,India,57443466.0,8918256.0,66361722.0
2021-04-02,India,60936753.0,9154083.0,70090836.0
2021-04-03,India,63743700.0,9368419.0,73112119.0
2021-04-04,India,66838504.0,9567193.0,76405697.0
2021-04-05,India,69620234.0,9819655.0,79439889.0
2021-04-06,India,72035640.0,10029697.0,82065337.0
2021-04-07,India,76671812.0,10428815.0,87100627.0
2021-04-08,India,80998099.0,10883431.0,91881530.0
2021-04-09,India,84296847.0,11286572.0,95583419.0
2021-04-10,India,87411872.0,11657482.0,99069354.0
2021-04-11,India,90111528.0,11888873.0,102000401.0
2021-04-12,India,93559587.0,12410952.0,105970539.0
2021-04-13,India,95823614.0,12774675.0,108598289.0
2021-04-14,India,98703696.0,13209592.0,111913288.0
2021-04-15,India,100853671.0,13744355.0,114598026.0
2021-04-16,India,102927296.0,14378048.0,117305344.0
2021-04-17,India,104950409.0,15020960.0,119971369.0
2021-04-18,India,105896430.0,15310668.0,121207098.0
2021-04-19,India,108178574.0,16278588.0,124457162.0
2021-05-01,India,126328970.0,27297355.0,153626325.0
2021-05-02,India,126704151.0,27507360.0,154211511.0
2021-05-03,India,127696675.0,28385461.0,156082136.0
2021-05-04,India,128627919.0,29122833.0,157750752.0
2021-05-05,India,129730641.0,30200597.0,159931238.0
2021-05-06,India,131058890.0,31544713.0,162603603.0
2021-05-07,India,132294827.0,32895173.0,165190000.0
2021-05-08,India,133366482.0,34127375.0,167493857.0
2021-05-09,India,133854676.0,34450192.0,168304868.0
2021-05-10,India,135192013.0,35906905.0,171098918.0
2021-05-11,India,136557345.0,37305298.0,173862643.0
2021-05-12,India,137805245.0,38240332.0,176045577.0
2021-05-13,India,139087590.0,39274256.0,178361846.0
2021-05-14,India,139861462.0,39784951.0,179646413.0
2021-05-15,India,141132112.0,40412424.0,181544536.0
2021-05-16,India,141764335.0,40486671.0,182251006.0
2021-05-17,India,143090218.0,40726986.0,183817204.0
2021-05-18,India,144270200.0,40921402.0,185191602.0
2021-01-16,Andaman and Nicobar Islands,23.0,0.0,23.0
2021-01-17,Andaman and Nicobar Islands,23.0,0.0,23.0
2021-01-18,Andaman and Nicobar Islands,42.0,0.0,42.0
2021-01-19,Andaman and Nicobar Islands,89.0,0.0,89.0
2021-02-01,Andaman and Nicobar Islands,2060.0,0.0,2060.0
2021-02-02,Andaman and Nicobar Islands,2060.0,0.0,2060.0
2021-02-03,Andaman and Nicobar Islands,2107.0,0.0,2107.0
2021-02-04,Andaman and Nicobar Islands,2290.0,0.0,2290.0
2021-02-05,Andaman and Nicobar Islands,2514.0,0.0,2514.0
2021-02-06,Andaman and Nicobar Islands,2780.0,0.0,2780.0
