Updated On,State,First Dose Administered,Second Dose Administered,Total Doses Administered
2021-01-16,India,48276.0,0.0,48276
2021-01-17,India,58604.0,0.0,58604
2021-01-18,India,99449.0,0.0,99449
2021-01-19,India,195525.0,0.0,195525
2021-02-01,India,3350265.0,0.0,3350265
2021-02-02,India,3527971.0,0.0,3527971
2021-02-03,India,3825835.0,0.0,3825835
2021-02-04,India,4314304.0,0.0,4314304
2021-02-05,India,4765924.0,0.0,4765924
2021-02-06,India,5111827.0,0.0,5111827
2021-02-07,India,5168099.0,0.0,5168099
2021-02-08,India,5615499.0,0.0,5615499
2021-02-09,India,6002474.0,0.0,6002474
2021-02-10,India,6462270.0,0.0,6462270
2021-02-11,India,6958553.0,0.0,6958553
2021-02-12,India,7423817.0,0.0,7423817
2021-02-13,India,7687352.0,20859.0,7708211
2021-02-14,India,7710367.0,21911.0,7732278
2021-02-15,India,8111162.0,142489.0,8253651
2021-02-16,India,8337600.0,239626.0,8577226
2021-02-17,India,8704698.0,318541.0,9023239
2021-02-18,India,8862491.0,475776.0,9338267
2021-02-19,India,9523567.0,717941.0,10241508
2021-03-01,India,11141651.0,2419557.0,13561208
2021-03-02,India,11886320.0,2647634.0,14533954
2021-03-03,India,12553326.0,2830557.0,15383883
2021-04-03,India,13393538.0,3142165.0,16535703
2021-05-03,India,14415912.0,3455761.0,17871673
2021-03-06,India,15438495.0,3732333.0,19170828
2021-03-07,India,15541529.0,3747137.0,19288666
2021-03-08,India,16976138.0,4062362.0,21038500
2021-03-09,India,14003206.0,4357037.0,18360243
2021-03-10,India,14872785.0,4665762.0,19538547
2021-03-11,India,15204375.0,4749612.0,19953987
2021-03-12,India,16612019.0,5160140.0,21772159
2021-03-13,India,17698742.0,5460862.0,23159604
2021-03-14,India,17837716.0,5480034.0,23317750
2021-03-15,India,19766466.0,5851784.0,25618250
2021-03-16,India,25709257.0,6161488.0,31870745
2021-03-17,India,30011328.0,6484692.0,36496020
2021-03-18,India,31952935.0,6817469.0,38770404
2021-03-19,India,34228371.0,7080848.0,41309219
2021-04-01,India,57443466.0,8918256.0,66361722
2021-04-02,India,60936753.0,9154083.0,70090836
2021-04-03,India,63743700.0,9368419.0,73112119
2021-04-04,India,66838504.0,9567193.0,76405697
2021-05-04,India,69620234.0,9819655.0,79439889
2021-04-06,India,72035640.0,10029697.0,82065337
2021-04-07,India,76671812.0,10428815.0,87100627
2021-04-08,India,80998099.0,10883431.0,91881530
